Protein	Label	log2FC	SE	Tvalue	DF	pvalue	adj.pvalue	issue	MissingPercentage	ImputationPercentage	blood plasma|case	blood plasma|control
CBX5	blood plasma|case-blood plasma|control	-1.816903317	1.035698045	-0.785481922	4	0.004355519	0.004355519	NA	0.25	0.25	0	0
RPL13A;RPL13AP3	blood plasma|case-blood plasma|control	1.746444536	1.035698045	-0.785481922	4	0.004410345	0.004410345	NA	0.25	0.25	0	0
ELP1	blood plasma|case-blood plasma|control	2.83619106	1.035698045	-0.785481922	4	0.004537121	0.004537121	NA	0.25	0.25	0	0
NDUFAF4	blood plasma|case-blood plasma|control	1.773654291	1.035698045	-0.785481922	4	0.004635083	0.004635083	NA	0.25	0.25	0	0
EMSY	blood plasma|case-blood plasma|control	-0.367624945	1.035698045	-0.785481922	4	0.004665875	0.004665875	NA	0.25	0.25	0	0
ACBD3	blood plasma|case-blood plasma|control	-0.665596238	1.035698045	-0.785481922	4	0.005279665	0.005279665	NA	0.25	0.25	0	0
RPRD1A	blood plasma|case-blood plasma|control	-1.651736664	1.035698045	-0.785481922	4	0.005382788	0.005382788	NA	0.25	0.25	0	0
NOL3	blood plasma|case-blood plasma|control	-1.32480077	1.035698045	-0.785481922	4	0.005386253	0.005386253	NA	0.25	0.25	0	0
CTDSPL2	blood plasma|case-blood plasma|control	2.38811708	1.035698045	-0.785481922	4	0.005729272	0.005729272	NA	0.25	0.25	0	0
PCNA	blood plasma|case-blood plasma|control	0.752431522	1.035698045	-0.785481922	4	0.00608984	0.00608984	NA	0.25	0.25	0	0
TMED4	blood plasma|case-blood plasma|control	0.587088	1.035698045	-0.785481922	4	0.006387352	0.006387352	NA	0.25	0.25	0	0
PYGM	blood plasma|case-blood plasma|control	2.156039235	1.035698045	-0.785481922	4	0.006565411	0.006565411	NA	0.25	0.25	0	0
NUDT2	blood plasma|case-blood plasma|control	0.830012353	1.035698045	-0.785481922	4	0.006952503	0.006952503	NA	0.25	0.25	0	0
EXOC6	blood plasma|case-blood plasma|control	0.241858542	1.035698045	-0.785481922	4	0.006956247	0.006956247	NA	0.25	0.25	0	0
UBE2G2	blood plasma|case-blood plasma|control	0.168467583	1.035698045	-0.785481922	4	0.006975358	0.006975358	NA	0.25	0.25	0	0
ABCC3	blood plasma|case-blood plasma|control	-1.146980305	1.035698045	-0.785481922	4	0.007030099	0.007030099	NA	0.25	0.25	0	0
VMP1	blood plasma|case-blood plasma|control	1.112116599	1.035698045	-0.785481922	4	0.007137783	0.007137783	NA	0.25	0.25	0	0
FERMT1	blood plasma|case-blood plasma|control	1.233232418	1.035698045	-0.785481922	4	0.00716208	0.00716208	NA	0.25	0.25	0	0
RBM26	blood plasma|case-blood plasma|control	-1.096681533	1.035698045	-0.785481922	4	0.007253253	0.007253253	NA	0.25	0.25	0	0
TM4SF1	blood plasma|case-blood plasma|control	-1.88250122	1.035698045	-0.785481922	4	0.007258536	0.007258536	NA	0.25	0.25	0	0
HSPA1A;HSPA1B	blood plasma|case-blood plasma|control	-2.189552374	1.035698045	-0.785481922	4	0.007437369	0.007437369	NA	0.25	0.25	0	0
NUMB	blood plasma|case-blood plasma|control	-0.529791909	1.035698045	-0.785481922	4	0.007538546	0.007538546	NA	0.25	0.25	0	0
RPP40	blood plasma|case-blood plasma|control	0.160547182	1.035698045	-0.785481922	4	0.007646714	0.007646714	NA	0.25	0.25	0	0
EPB41L1	blood plasma|case-blood plasma|control	0.053049639	1.035698045	-0.785481922	4	0.007647745	0.007647745	NA	0.25	0.25	0	0
GTF2H1	blood plasma|case-blood plasma|control	1.428893627	1.035698045	-0.785481922	4	0.007697584	0.007697584	NA	0.25	0.25	0	0
GIGYF2	blood plasma|case-blood plasma|control	-0.842875062	1.035698045	-0.785481922	4	0.008099616	0.008099616	NA	0.25	0.25	0	0
RTF1	blood plasma|case-blood plasma|control	-0.829898564	1.035698045	-0.785481922	4	0.00814306	0.00814306	NA	0.25	0.25	0	0
SF3B2	blood plasma|case-blood plasma|control	0.095456293	1.035698045	-0.785481922	4	0.008188332	0.008188332	NA	0.25	0.25	0	0
SVIL	blood plasma|case-blood plasma|control	-1.915299882	1.035698045	-0.785481922	4	0.00822327	0.00822327	NA	0.25	0.25	0	0
MACROH2A1	blood plasma|case-blood plasma|control	-1.204571561	1.035698045	-0.785481922	4	0.008295916	0.008295916	NA	0.25	0.25	0	0
RBM12B	blood plasma|case-blood plasma|control	-2.204196687	1.035698045	-0.785481922	4	0.008399251	0.008399251	NA	0.25	0.25	0	0
KRT16	blood plasma|case-blood plasma|control	-0.752960965	1.035698045	-0.785481922	4	0.008477053	0.008477053	NA	0.25	0.25	0	0
OSBPL11	blood plasma|case-blood plasma|control	2.629707114	1.035698045	-0.785481922	4	0.008683034	0.008683034	NA	0.25	0.25	0	0
TRA2B	blood plasma|case-blood plasma|control	-0.044907544	1.035698045	-0.785481922	4	0.008838262	0.008838262	NA	0.25	0.25	0	0
PALLD	blood plasma|case-blood plasma|control	-2.177614683	1.035698045	-0.785481922	4	0.00888404	0.00888404	NA	0.25	0.25	0	0
SNX5	blood plasma|case-blood plasma|control	-2.091994916	1.035698045	-0.785481922	4	0.008955372	0.008955372	NA	0.25	0.25	0	0
NELFA	blood plasma|case-blood plasma|control	-0.686393604	1.035698045	-0.785481922	4	0.009152824	0.009152824	NA	0.25	0.25	0	0
VDAC2	blood plasma|case-blood plasma|control	0.760691577	1.035698045	-0.785481922	4	0.009218386	0.009218386	NA	0.25	0.25	0	0
GSPT2	blood plasma|case-blood plasma|control	-0.476839409	1.035698045	-0.785481922	4	0.009426903	0.009426903	NA	0.25	0.25	0	0
P4HTM	blood plasma|case-blood plasma|control	2.322115613	1.035698045	-0.785481922	4	0.00952611	0.00952611	NA	0.25	0.25	0	0
NOL10	blood plasma|case-blood plasma|control	1.893876078	1.035698045	-0.785481922	4	0.009586231	0.009586231	NA	0.25	0.25	0	0
HPRT1	blood plasma|case-blood plasma|control	2.403047737	1.035698045	-0.785481922	4	0.0097274	0.0097274	NA	0.25	0.25	0	0
EPPK1	blood plasma|case-blood plasma|control	0.4061312	1.035698045	-0.785481922	4	0.009810175	0.009810175	NA	0.25	0.25	0	0
BSG	blood plasma|case-blood plasma|control	-1.065174326	1.035698045	-0.785481922	4	0.010061105	0.010061105	NA	0.25	0.25	0	0
POLA1	blood plasma|case-blood plasma|control	0.994255645	1.035698045	-0.785481922	4	0.010177149	0.010177149	NA	0.25	0.25	0	0
TRMT61A	blood plasma|case-blood plasma|control	0.234084751	1.035698045	-0.785481922	4	0.010220191	0.010220191	NA	0.25	0.25	0	0
RPL4	blood plasma|case-blood plasma|control	1.99533219	1.035698045	-0.785481922	4	0.010522871	0.010522871	NA	0.25	0.25	0	0
SCO1	blood plasma|case-blood plasma|control	-0.876199841	1.035698045	-0.785481922	4	0.010851777	0.010851777	NA	0.25	0.25	0	0
DYNLRB1	blood plasma|case-blood plasma|control	0.278229009	1.035698045	-0.785481922	4	0.010973764	0.010973764	NA	0.25	0.25	0	0
BTF3	blood plasma|case-blood plasma|control	-1.148898919	1.035698045	-0.785481922	4	0.011027168	0.011027168	NA	0.25	0.25	0	0
XPO7	blood plasma|case-blood plasma|control	-1.092173084	1.035698045	-0.785481922	4	0.011446034	0.011446034	NA	0.25	0.25	0	0
SGPL1	blood plasma|case-blood plasma|control	2.270372381	1.035698045	-0.785481922	4	0.011679588	0.011679588	NA	0.25	0.25	0	0
AGMAT	blood plasma|case-blood plasma|control	-1.444459193	1.035698045	-0.785481922	4	0.011808828	0.011808828	NA	0.25	0.25	0	0
CMBL	blood plasma|case-blood plasma|control	0.030795744	1.035698045	-0.785481922	4	0.011910852	0.011910852	NA	0.25	0.25	0	0
FTSJ3	blood plasma|case-blood plasma|control	2.210085611	1.035698045	-0.785481922	4	0.01197419	0.01197419	NA	0.25	0.25	0	0
SH3GLB2	blood plasma|case-blood plasma|control	1.215343046	1.035698045	-0.785481922	4	0.011982989	0.011982989	NA	0.25	0.25	0	0
CADPS2	blood plasma|case-blood plasma|control	2.497826105	1.035698045	-0.785481922	4	0.011998542	0.011998542	NA	0.25	0.25	0	0
TTC9C	blood plasma|case-blood plasma|control	2.83674486	1.035698045	-0.785481922	4	0.012246237	0.012246237	NA	0.25	0.25	0	0
INO80C	blood plasma|case-blood plasma|control	0.986678425	1.035698045	-0.785481922	4	0.012573399	0.012573399	NA	0.25	0.25	0	0
HIBADH	blood plasma|case-blood plasma|control	0.491622827	1.035698045	-0.785481922	4	0.0126385	0.0126385	NA	0.25	0.25	0	0
IDH1	blood plasma|case-blood plasma|control	1.174503588	1.035698045	-0.785481922	4	0.013004661	0.013004661	NA	0.25	0.25	0	0
ERCC5	blood plasma|case-blood plasma|control	0.385961139	1.035698045	-0.785481922	4	0.013124588	0.013124588	NA	0.25	0.25	0	0
CHM	blood plasma|case-blood plasma|control	0.929693797	1.035698045	-0.785481922	4	0.013260563	0.013260563	NA	0.25	0.25	0	0
PLCB3	blood plasma|case-blood plasma|control	0.921647963	1.035698045	-0.785481922	4	0.013272965	0.013272965	NA	0.25	0.25	0	0
MFSD10	blood plasma|case-blood plasma|control	-0.086482194	1.035698045	-0.785481922	4	0.013305758	0.013305758	NA	0.25	0.25	0	0
TOP1	blood plasma|case-blood plasma|control	-0.813413821	1.035698045	-0.785481922	4	0.013426594	0.013426594	NA	0.25	0.25	0	0
PSAP	blood plasma|case-blood plasma|control	1.622587161	1.035698045	-0.785481922	4	0.013583281	0.013583281	NA	0.25	0.25	0	0
KLF5	blood plasma|case-blood plasma|control	1.469140573	1.035698045	-0.785481922	4	0.01371172	0.01371172	NA	0.25	0.25	0	0
TIMM8A	blood plasma|case-blood plasma|control	-2.076020378	1.035698045	-0.785481922	4	0.013829304	0.013829304	NA	0.25	0.25	0	0
CHAF1B	blood plasma|case-blood plasma|control	-1.460145682	1.035698045	-0.785481922	4	0.01402329	0.01402329	NA	0.25	0.25	0	0
HSD17B12	blood plasma|case-blood plasma|control	-0.261920703	1.035698045	-0.785481922	4	0.014073606	0.014073606	NA	0.25	0.25	0	0
OSBPL10	blood plasma|case-blood plasma|control	1.75206553	1.035698045	-0.785481922	4	0.014119928	0.014119928	NA	0.25	0.25	0	0
MRPL2	blood plasma|case-blood plasma|control	0.502838693	1.035698045	-0.785481922	4	0.014260821	0.014260821	NA	0.25	0.25	0	0
LAMB3	blood plasma|case-blood plasma|control	-2.686371021	1.035698045	-0.785481922	4	0.014283124	0.014283124	NA	0.25	0.25	0	0
TPBG	blood plasma|case-blood plasma|control	0.816809498	1.035698045	-0.785481922	4	0.014297133	0.014297133	NA	0.25	0.25	0	0
SCD	blood plasma|case-blood plasma|control	2.886353051	1.035698045	-0.785481922	4	0.01452269	0.01452269	NA	0.25	0.25	0	0
ELP1	blood plasma|case-blood plasma|control	-2.27117291	1.035698045	-0.785481922	4	0.014587715	0.014587715	NA	0.25	0.25	0	0
LEMD3	blood plasma|case-blood plasma|control	1.432216976	1.035698045	-0.785481922	4	0.014639966	0.014639966	NA	0.25	0.25	0	0
SPART	blood plasma|case-blood plasma|control	0.051528197	1.035698045	-0.785481922	4	0.014692273	0.014692273	NA	0.25	0.25	0	0
MDN1	blood plasma|case-blood plasma|control	-0.173540664	1.035698045	-0.785481922	4	0.014822173	0.014822173	NA	0.25	0.25	0	0
RPRD1B	blood plasma|case-blood plasma|control	-1.668774864	1.035698045	-0.785481922	4	0.014846723	0.014846723	NA	0.25	0.25	0	0
MACROH2A1	blood plasma|case-blood plasma|control	-1.649265364	1.035698045	-0.785481922	4	0.014902304	0.014902304	NA	0.25	0.25	0	0
ARL2BP	blood plasma|case-blood plasma|control	-0.806627115	1.035698045	-0.785481922	4	0.014959348	0.014959348	NA	0.25	0.25	0	0
U2SURP	blood plasma|case-blood plasma|control	-1.184458198	1.035698045	-0.785481922	4	0.015080097	0.015080097	NA	0.25	0.25	0	0
TTC1	blood plasma|case-blood plasma|control	0.018619071	1.035698045	-0.785481922	4	0.015228806	0.015228806	NA	0.25	0.25	0	0
LSM3	blood plasma|case-blood plasma|control	-0.997212826	1.035698045	-0.785481922	4	0.015461393	0.015461393	NA	0.25	0.25	0	0
AKAP9	blood plasma|case-blood plasma|control	0.595490794	1.035698045	-0.785481922	4	0.015494463	0.015494463	NA	0.25	0.25	0	0
SLC25A1	blood plasma|case-blood plasma|control	-1.616554763	1.035698045	-0.785481922	4	0.015558211	0.015558211	NA	0.25	0.25	0	0
SPAG9	blood plasma|case-blood plasma|control	0.851278167	1.035698045	-0.785481922	4	0.01574654	0.01574654	NA	0.25	0.25	0	0
HMGA1	blood plasma|case-blood plasma|control	2.011695035	1.035698045	-0.785481922	4	0.015791419	0.015791419	NA	0.25	0.25	0	0
LMNB2	blood plasma|case-blood plasma|control	0.684518139	1.035698045	-0.785481922	4	0.015793249	0.015793249	NA	0.25	0.25	0	0
NOP9	blood plasma|case-blood plasma|control	-1.717718268	1.035698045	-0.785481922	4	0.015813542	0.015813542	NA	0.25	0.25	0	0
MAGOHB;MAGOH	blood plasma|case-blood plasma|control	-0.528711651	1.035698045	-0.785481922	4	0.015916456	0.015916456	NA	0.25	0.25	0	0
RPL29	blood plasma|case-blood plasma|control	0.845433428	1.035698045	-0.785481922	4	0.016150968	0.016150968	NA	0.25	0.25	0	0
USP48	blood plasma|case-blood plasma|control	1.700198025	1.035698045	-0.785481922	4	0.016492675	0.016492675	NA	0.25	0.25	0	0
HERC4	blood plasma|case-blood plasma|control	-0.682912218	1.035698045	-0.785481922	4	0.016569075	0.016569075	NA	0.25	0.25	0	0
GPRC5A	blood plasma|case-blood plasma|control	-2.352028292	1.035698045	-0.785481922	4	0.016662992	0.016662992	NA	0.25	0.25	0	0
NPLOC4	blood plasma|case-blood plasma|control	0.680454328	1.035698045	-0.785481922	4	0.016921507	0.016921507	NA	0.25	0.25	0	0
NOL8	blood plasma|case-blood plasma|control	2.991575618	1.035698045	-0.785481922	4	0.017062291	0.017062291	NA	0.25	0.25	0	0
DIDO1	blood plasma|case-blood plasma|control	0.765830183	1.035698045	-0.785481922	4	0.017176903	0.017176903	NA	0.25	0.25	0	0
PSPH	blood plasma|case-blood plasma|control	-1.120429029	1.035698045	-0.785481922	4	0.017418103	0.017418103	NA	0.25	0.25	0	0
GPI	blood plasma|case-blood plasma|control	-0.512014596	1.035698045	-0.785481922	4	0.017627261	0.017627261	NA	0.25	0.25	0	0
DHX38	blood plasma|case-blood plasma|control	0.875617761	1.035698045	-0.785481922	4	0.01781994	0.01781994	NA	0.25	0.25	0	0
EHBP1L1	blood plasma|case-blood plasma|control	-0.901636929	1.035698045	-0.785481922	4	0.018099461	0.018099461	NA	0.25	0.25	0	0
DLGAP1	blood plasma|case-blood plasma|control	-0.216365379	1.035698045	-0.785481922	4	0.01859911	0.01859911	NA	0.25	0.25	0	0
CALU	blood plasma|case-blood plasma|control	0.114780692	1.035698045	-0.785481922	4	0.0188058	0.0188058	NA	0.25	0.25	0	0
BMS1	blood plasma|case-blood plasma|control	0.256578163	1.035698045	-0.785481922	4	0.018833534	0.018833534	NA	0.25	0.25	0	0
ARHGEF10	blood plasma|case-blood plasma|control	-0.254002351	1.035698045	-0.785481922	4	0.018971552	0.018971552	NA	0.25	0.25	0	0
CDK12	blood plasma|case-blood plasma|control	-1.66206313	1.035698045	-0.785481922	4	0.019144416	0.019144416	NA	0.25	0.25	0	0
CWC22	blood plasma|case-blood plasma|control	2.035154626	1.035698045	-0.785481922	4	0.019176661	0.019176661	NA	0.25	0.25	0	0
XPO4	blood plasma|case-blood plasma|control	-0.730627657	1.035698045	-0.785481922	4	0.019181023	0.019181023	NA	0.25	0.25	0	0
CBX5	blood plasma|case-blood plasma|control	2.208640384	1.035698045	-0.785481922	4	0.019461331	0.019461331	NA	0.25	0.25	0	0
HTRA2	blood plasma|case-blood plasma|control	1.609821417	1.035698045	-0.785481922	4	0.019564528	0.019564528	NA	0.25	0.25	0	0
ARPC5L	blood plasma|case-blood plasma|control	-2.238120187	1.035698045	-0.785481922	4	0.019744385	0.019744385	NA	0.25	0.25	0	0
NDUFA7	blood plasma|case-blood plasma|control	-1.35814442	1.035698045	-0.785481922	4	0.019906247	0.019906247	NA	0.25	0.25	0	0
SLU7	blood plasma|case-blood plasma|control	-0.237858523	1.035698045	-0.785481922	4	0.019914093	0.019914093	NA	0.25	0.25	0	0
XRN1	blood plasma|case-blood plasma|control	0.760688937	1.035698045	-0.785481922	4	0.019979387	0.019979387	NA	0.25	0.25	0	0
RINT1	blood plasma|case-blood plasma|control	-0.019950413	1.035698045	-0.785481922	4	0.020350698	0.020350698	NA	0.25	0.25	0	0
SLC35E1	blood plasma|case-blood plasma|control	2.732761086	1.035698045	-0.785481922	4	0.02061863	0.02061863	NA	0.25	0.25	0	0
PSMD6	blood plasma|case-blood plasma|control	-0.249648393	1.035698045	-0.785481922	4	0.020688463	0.020688463	NA	0.25	0.25	0	0
HSPA4L	blood plasma|case-blood plasma|control	1.226944224	1.035698045	-0.785481922	4	0.020854836	0.020854836	NA	0.25	0.25	0	0
AP2A1	blood plasma|case-blood plasma|control	1.557160664	1.035698045	-0.785481922	4	0.021030706	0.021030706	NA	0.25	0.25	0	0
TCEA1	blood plasma|case-blood plasma|control	-1.505366761	1.035698045	-0.785481922	4	0.021218476	0.021218476	NA	0.25	0.25	0	0
DHX37	blood plasma|case-blood plasma|control	0.378445988	1.035698045	-0.785481922	4	0.021677748	0.021677748	NA	0.25	0.25	0	0
DAG1	blood plasma|case-blood plasma|control	1.267627595	1.035698045	-0.785481922	4	0.021854849	0.021854849	NA	0.25	0.25	0	0
PTGR2	blood plasma|case-blood plasma|control	-1.040615561	1.035698045	-0.785481922	4	0.021982496	0.021982496	NA	0.25	0.25	0	0
GLTP	blood plasma|case-blood plasma|control	0.714903605	1.035698045	-0.785481922	4	0.022216371	0.022216371	NA	0.25	0.25	0	0
USP14	blood plasma|case-blood plasma|control	-1.287847285	1.035698045	-0.785481922	4	0.022334351	0.022334351	NA	0.25	0.25	0	0
OSBPL2	blood plasma|case-blood plasma|control	-0.308019544	1.035698045	-0.785481922	4	0.022394811	0.022394811	NA	0.25	0.25	0	0
OXCT1	blood plasma|case-blood plasma|control	-2.602380528	1.035698045	-0.785481922	4	0.022447046	0.022447046	NA	0.25	0.25	0	0
EFTUD2	blood plasma|case-blood plasma|control	-1.627400212	1.035698045	-0.785481922	4	0.022504899	0.022504899	NA	0.25	0.25	0	0
ITGA3	blood plasma|case-blood plasma|control	1.558043495	1.035698045	-0.785481922	4	0.022545426	0.022545426	NA	0.25	0.25	0	0
TUBAL3	blood plasma|case-blood plasma|control	0.548542471	1.035698045	-0.785481922	4	0.023018861	0.023018861	NA	0.25	0.25	0	0
TERF2IP	blood plasma|case-blood plasma|control	0.40008751	1.035698045	-0.785481922	4	0.023103171	0.023103171	NA	0.25	0.25	0	0
TMA16	blood plasma|case-blood plasma|control	2.291084141	1.035698045	-0.785481922	4	0.023129715	0.023129715	NA	0.25	0.25	0	0
STRAP	blood plasma|case-blood plasma|control	1.529235823	1.035698045	-0.785481922	4	0.023328833	0.023328833	NA	0.25	0.25	0	0
KIF11	blood plasma|case-blood plasma|control	-1.367770629	1.035698045	-0.785481922	4	0.023607827	0.023607827	NA	0.25	0.25	0	0
TMEM14C	blood plasma|case-blood plasma|control	-1.149293669	1.035698045	-0.785481922	4	0.023622479	0.023622479	NA	0.25	0.25	0	0
GOLM1	blood plasma|case-blood plasma|control	-1.061489865	1.035698045	-0.785481922	4	0.023639038	0.023639038	NA	0.25	0.25	0	0
PDP1	blood plasma|case-blood plasma|control	2.959127689	1.035698045	-0.785481922	4	0.023766894	0.023766894	NA	0.25	0.25	0	0
PTRHD1	blood plasma|case-blood plasma|control	1.808831944	1.035698045	-0.785481922	4	0.023871248	0.023871248	NA	0.25	0.25	0	0
VPS26A	blood plasma|case-blood plasma|control	-0.551311074	1.035698045	-0.785481922	4	0.024069331	0.024069331	NA	0.25	0.25	0	0
NUDT9	blood plasma|case-blood plasma|control	0.867699072	1.035698045	-0.785481922	4	0.024108563	0.024108563	NA	0.25	0.25	0	0
MIDEAS	blood plasma|case-blood plasma|control	0.529594248	1.035698045	-0.785481922	4	0.024469077	0.024469077	NA	0.25	0.25	0	0
KRT25	blood plasma|case-blood plasma|control	1.656454841	1.035698045	-0.785481922	4	0.024508483	0.024508483	NA	0.25	0.25	0	0
TIMMDC1	blood plasma|case-blood plasma|control	-2.637882525	1.035698045	-0.785481922	4	0.024517915	0.024517915	NA	0.25	0.25	0	0
HLA-B	blood plasma|case-blood plasma|control	-0.876751601	1.035698045	-0.785481922	4	0.024833081	0.024833081	NA	0.25	0.25	0	0
PFN1	blood plasma|case-blood plasma|control	1.830955628	1.035698045	-0.785481922	4	0.024926947	0.024926947	NA	0.25	0.25	0	0
FNDC3B	blood plasma|case-blood plasma|control	1.396100212	1.035698045	-0.785481922	4	0.024970286	0.024970286	NA	0.25	0.25	0	0
YJU2	blood plasma|case-blood plasma|control	1.899760195	1.035698045	-0.785481922	4	0.025177449	0.025177449	NA	0.25	0.25	0	0
CPSF7	blood plasma|case-blood plasma|control	2.981673584	1.035698045	-0.785481922	4	0.025261764	0.025261764	NA	0.25	0.25	0	0
CEPT1	blood plasma|case-blood plasma|control	-0.532407775	1.035698045	-0.785481922	4	0.025431762	0.025431762	NA	0.25	0.25	0	0
TRIP13	blood plasma|case-blood plasma|control	-1.104818082	1.035698045	-0.785481922	4	0.025511248	0.025511248	NA	0.25	0.25	0	0
RPLP1	blood plasma|case-blood plasma|control	0.158524748	1.035698045	-0.785481922	4	0.025550358	0.025550358	NA	0.25	0.25	0	0
WDR12	blood plasma|case-blood plasma|control	0.158695592	1.035698045	-0.785481922	4	0.02555303	0.02555303	NA	0.25	0.25	0	0
EMC8	blood plasma|case-blood plasma|control	2.005330747	1.035698045	-0.785481922	4	0.025788904	0.025788904	NA	0.25	0.25	0	0
EIF2B3	blood plasma|case-blood plasma|control	1.311143784	1.035698045	-0.785481922	4	0.026070659	0.026070659	NA	0.25	0.25	0	0
NAA25	blood plasma|case-blood plasma|control	1.187437622	1.035698045	-0.785481922	4	0.026122732	0.026122732	NA	0.25	0.25	0	0
SDE2	blood plasma|case-blood plasma|control	7.07E-05	1.035698045	-0.785481922	4	0.026130779	0.026130779	NA	0.25	0.25	0	0
HLA-H	blood plasma|case-blood plasma|control	-0.861358241	1.035698045	-0.785481922	4	0.026290802	0.026290802	NA	0.25	0.25	0	0
TPM4	blood plasma|case-blood plasma|control	-1.029522034	1.035698045	-0.785481922	4	0.026336623	0.026336623	NA	0.25	0.25	0	0
SAG	blood plasma|case-blood plasma|control	0.002119765	1.035698045	-0.785481922	4	0.026428446	0.026428446	NA	0.25	0.25	0	0
HEXIM2	blood plasma|case-blood plasma|control	1.07450065	1.035698045	-0.785481922	4	0.02650814	0.02650814	NA	0.25	0.25	0	0
ATP5MF	blood plasma|case-blood plasma|control	0.2066459	1.035698045	-0.785481922	4	0.026532952	0.026532952	NA	0.25	0.25	0	0
TIMM10	blood plasma|case-blood plasma|control	0.8476151	1.035698045	-0.785481922	4	0.026624292	0.026624292	NA	0.25	0.25	0	0
PSMA4	blood plasma|case-blood plasma|control	-1.04986995	1.035698045	-0.785481922	4	0.027096754	0.027096754	NA	0.25	0.25	0	0
CHMP4B	blood plasma|case-blood plasma|control	-1.28258762	1.035698045	-0.785481922	4	0.027231106	0.027231106	NA	0.25	0.25	0	0
MAP3K20	blood plasma|case-blood plasma|control	0.484117665	1.035698045	-0.785481922	4	0.027256228	0.027256228	NA	0.25	0.25	0	0
SSU72	blood plasma|case-blood plasma|control	-1.737565544	1.035698045	-0.785481922	4	0.027500252	0.027500252	NA	0.25	0.25	0	0
ERAP1	blood plasma|case-blood plasma|control	-1.348233852	1.035698045	-0.785481922	4	0.027779723	0.027779723	NA	0.25	0.25	0	0
